"NAME THE DECADE","$1800","George Orwell, 34 years dead, hits the bestseller list","the 1980s"
"ART","$1800","17th century Flemish master known for painting women like the one seen <a href="http://www.j-archive.com/media/1997-11-10_DJ_13.jpg" target="_blank">here</a>:","Peter Paul Rubens"
"STAMPS","$1800","The Distinguished Marines series honors the man for whom a North Carolina Marine Corps base was named","Lt. Gen. John Lejeune"
"SCIENCE & NATURE","$1800","The flexible neck of this bird of prey allows it to rotate its head an amazing 270 degrees","Owl"
""GENERAL" JOB INFORMATION","$1800","In 1870 Congress created this position to direct the Marine Hospital Service","the Surgeon General"
"AMERICAN HISTORY","$1800","This political party founded around 1789 stood for a strong central government","the Federalists"
"THE FALL","$1800","On Nov. 8, 1519 the sight of his forces made the Tenochtitlaners feel like they'd "eaten stupefying mushrooms"","(Hernándo) Cortés"
"EDGAR ALLAN POE-POURRI","$1800","In the world's first detective story, C. Auguste Dupin solves the title crimes in "The Murders" here","the Rue Morgue"
"SKUNKS","$1800","Condition of the skunk in the title of the <a href="http://www.j-archive.com/media/1988-11-02_J_18.mp3">following</a> 1973 Top 20 hit:  <i>"Take a whiff on me, that ain't no rose! / Roll up yer window and hold yer nose"</i>","dead and in the middle of the road"
"THEIR ALMA MATERS","$1800","JFK (John Forbes Kerry)","Yale"
"WAR","$1800",""Operation Rolling Thunder" was the 1965 U.S. bombing campaign designed in part to stop men & supplies coming south on this road","the Ho Chi Minh Trail"
"SHAKESPEAREAN WORDS","$1800","The word "fashionable" came into vogue with Ulysses' speech to Achilles in this play","Troilus and Cressida"
"THE NORTHERNMOST CAPITAL CITY","$1800","Hanoi, Phnom Penh, Rangoon, Vientiane","Hanoi"
"BEYOND THE HORIZON","$1800","Head due east from Washington, D.C. or New York City & you'll first hit this Southern European country","Portugal"
"GIMME MY HUNCHBACK","$1800","As portrayed by Shakespeare, this 15th century king was a murderous hunchback","Richard III"
"OPERA CHARACTERS","$1800","Angels guard this duo while they sleep in the forest in an 1893 opera","Hansel & Gretel"
"HAUNTED AMERICA","$1800","The spirit of Marie Laveu reportedly utters voodoo curses to trespassers at a cemetery in this city","New Orleans"
"MEDICINE","$1800","In the 1870s germs of this disease of cattle became the first microorganism identified as a cause of illness","anthrax"
"MONARCHS FORMERLY KNOWN AS PRINCE","$1800","The highlight of his years as a prince surely had to be marrying a beautiful Austrian archduchess in 1770","Louis XVI"
"DANCE MUSIC","$1800","Title that completes the Irving Berlin lyric heard here:  "Oh, I love to go out fishing, in a river or a creek, but I don't enjoy it half as much as dancing...."",""Cheek To Cheek""
"FOR ALL YOU LATIN LOVERS","$1800","Often used in the plural, this synonym for wedding goes back to the Latin verb nubere, "to take a husband"","nuptials"
"PRESIDENTIAL LIBRARIES","$1800","Along with his papers, his library contains a large mural by Thomas Hart Benton","Harry Truman"
"BE B.C.","$1800","This "great" guy got a gig as governor of Galilee in 47 B.C.; a few years later, he was king of Judea","Herod the Great"
"ART & ARTISTS","$1800","Four of her works, including the one seen here, were recently featured on U.S. stamps","Mary Cassatt"
"COLLEGE KNOWLEDGE","$1800","In 1924 North Carolina's Trinity College was endowed by a tobacco magnate & changed its name to this","Duke"
"SECRETARIES OF STATE","$1800","Dwight Eisenhower & JFK both attended the 1962 dedication of the airport named for him","John Foster Dulles"
"BRITISH ROYALS IN THE MILITARY","$1800","In 1982 Prince Andrew flew helicopters during a war against this country","Argentina"
"SUPER BOWL BETS","$1800","Backing his team in 1999, this city's mayor put up peanuts & a case of Coke","Atlanta"
"ATOLLS","$1800","From April to August 1958 the U.S. conducted 22 of these on Enewetak Atoll to get them in before a ban took effect","nuclear tests"
"FIRST THINGS FIRST","$1800","Not surprisingly, the first architecture dept. at a college was established at this Boston-area school in 1865","MIT (Massachusetts Institute of Technology)"
"HISTORIC HISTORIANS","$1800","6th century Roman historian Flavius Cassiodorus did a history of this group that split into Visi- & Ostro- halves","the Goths"
"POETIC LICENSE","$1800","One week after a secret wedding at St. Marylebone Church, she ran off to Italy, escaping Wimpole Street forever","Elizabeth Barrett Browning"
"PULITZER PRIZE BIOGRAPHIES","$1800","In 1944 Carleton Mabee won for "The American Leonardo:  The Life Of" this artist & inventor","Samuel FB Morse"
"MOUNTAIN RANGES","$1800","This mountain range is divided into 3 regions, the Atlantic, the Central & the Mediterranean","the Pyrenees"
"FAMILIAR EXPRESSIONS","$1800","(Jimmy of the Clue Crew reports)  As a horse gets older, its gums recede, so an elderly one literally is this expression","long in the tooth"
"THE MIDDLE EAST","$1800","Country whose currency is seen <a href="http://www.j-archive.com/media/1993-04-02_DJ_22.jpg" target="_blank">here</a>:","Iraq"
"POLITICIANS","$1800","This Virginian is the ranking Republican on the Senate Armed Services Committee","John Warner"
"EAST ASIA","$1800","Korea's West Coast, including Inchon, borders this arm of the Pacific","Yellow Sea"
"BRIDGES","$1800","The Chain & Elizabeth Bridges cross this river to connect Buda & Pest","Danube"
"FILM STARS","$1800","She was born Demetria Guynes November 11, 1962 in Roswell, New Mexico","Demi Moore"
"REMORSE CODE","$1800","This word for a speech of remorse or a defense of one's actions is from the Greek for "away" & "speech"","an apology"
"I'M GONNA MOON YOU!","$1800","On Feb. 1, 1958 the Detroit Free Press said, "U.S. Fires Moon!"; they meant the USA's first of these, Explorer 1","a satellite"
"SWEET TALK","$1800","Keats' "Ode on" this says, "Sylvan historian, who canst thus express a flowery tale more sweetly than our rhyme"","a Grecian Urn"
"REVOLUTIONS","$1800","From 1963 to 1978 this country had a "White Revolution": in 1979, partly as a backlash, it had an Islamic one","Iran"
"IRVING BERLIN","$1800","(AUDIO DAILY DOUBLE): In 1927 A. Jolson sang this Berlin tune in "The Jazz Singer"; Willie Nelson had a hit with it 50 years later:",""Blue Skies""
"THE PHILADELPHIA ORCHESTRA","$1800","The orchestra is heard in the 1937 movie "100 Men and a Girl" & this 1940 Disney film","Fantasia"
